entry_time,exit_time,side,entry_px,exit_px,shares,pnl
2025-10-22 13:22:00-04:00,2025-10-22 14:00:00-04:00,short,256.7429613220215,256.2331045593262,-1462.0,745.4105870604973
2025-10-23 09:32:00-04:00,2025-10-23 09:42:00-04:00,long,259.15224198303224,258.07254889831546,1108.0,-1196.2999378661923
2025-10-23 11:36:00-04:00,2025-10-23 11:38:00-04:00,long,259.7370579406738,259.09214039001466,2167.0,-1397.536332278397
2025-10-23 11:54:00-04:00,2025-10-23 12:26:00-04:00,long,260.171925,260.03106761169437,1686.0,-237.485556683274
2025-10-23 15:52:00-04:00,2025-10-23 15:56:00-04:00,short,259.0922624237061,259.2422113220215,-2432.0,-364.6757207030896
2025-10-24 10:24:00-04:00,2025-10-24 11:56:00-04:00,long,261.02667948303224,262.8811034576416,1244.0,2306.9034244140275
2025-10-27 09:32:00-04:00,2025-10-27 09:42:00-04:00,long,266.0101693389893,264.9604965423584,776.0,-814.5460901855681
2025-10-27 09:50:00-04:00,2025-10-27 10:26:00-04:00,long,266.1101454406738,265.6880614105225,798.0,-336.82305606075727
2025-10-27 14:50:00-04:00,2025-10-28 09:56:00-04:00,long,265.9701727966309,268.60158528442383,4054.0,10667.74622551259
2025-10-28 12:52:00-04:00,2025-10-28 13:12:00-04:00,long,269.47912955932617,269.0992386779785,2504.0,-951.2467668945123
2025-10-29 09:38:00-04:00,2025-10-29 10:18:00-04:00,long,270.1589182373047,270.4713244873047,1319.0,412.0638437499748
2025-10-29 10:58:00-04:00,2025-10-29 11:54:00-04:00,short,268.8293306610108,268.02936930541995,-1483.0,1186.342690341192
2025-10-29 13:24:00-04:00,2025-10-29 14:16:00-04:00,long,269.4391330169678,270.02397948303224,2637.0,1542.2401310119496
2025-10-29 15:34:00-04:00,2025-10-29 15:42:00-04:00,short,267.9095932373047,268.75934433898925,-1476.0,-1254.2326260863906
2025-10-29 15:46:00-04:00,2025-10-29 15:58:00-04:00,long,269.50911933898925,269.01927610168457,1304.0,-638.7555814453067
2025-10-30 09:32:00-04:00,2025-10-30 09:36:00-04:00,long,273.35546875,271.0486658813477,626.0,-1444.0585957763474
2025-10-30 10:26:00-04:00,2025-10-30 11:04:00-04:00,short,269.1992147796631,269.669075,-969.0,-455.29455350645395
2025-10-30 11:10:00-04:00,2025-10-30 11:42:00-04:00,long,270.33888742370607,270.367473815918,1254.0,35.847335833766124
2025-10-30 11:54:00-04:00,2025-10-30 12:36:00-04:00,long,271.3035942626953,271.5335057373047,1639.0,376.8249068848448
2025-10-30 13:30:00-04:00,2025-10-30 13:36:00-04:00,long,271.86842720336915,271.3785534576416,2455.0,-1202.6400457611358
2025-10-30 14:02:00-04:00,2025-10-30 14:20:00-04:00,long,272.01837610168457,271.68028175964355,2720.0,-919.6166103515679
2025-10-31 09:32:00-04:00,2025-10-31 09:34:00-04:00,long,275.17743176269533,273.3479636779785,583.0,-1066.5798933899157
2025-10-31 12:26:00-04:00,2025-10-31 12:52:00-04:00,long,272.3782534576416,272.06834889831543,1107.0,-343.06434717408666
2025-10-31 13:24:00-04:00,2025-10-31 13:44:00-04:00,short,270.3788534576416,270.8337340423584,-1322.0,-601.3521329956337
2025-10-31 15:34:00-04:00,2025-10-31 15:46:00-04:00,long,272.38386700744627,271.9783795593262,1903.0,-771.64261377252
2025-10-31 15:56:00-04:00,2025-10-31 15:58:00-04:00,short,270.52880235595705,270.168925,-947.0,340.80385609132935
